key,family,variant,horizon_days,parameters,long_total_windows,long_sample_eligible_windows,long_oos_complete_windows,long_oos_eligible_windows,long_weighted_sample_mean_ic,long_median_sample_mean_ic,long_weighted_oos_mean_ic,long_median_oos_mean_ic,long_oos_ic_std_across_windows,long_positive_sample_window_rate,long_positive_oos_window_rate,long_sign_consistency_rate,long_both_positive_rate,long_mean_ic_change,long_mean_absolute_ic_change,short_total_windows,short_sample_eligible_windows,short_oos_complete_windows,short_oos_eligible_windows,short_weighted_sample_mean_ic,short_median_sample_mean_ic,short_weighted_oos_mean_ic,short_median_oos_mean_ic,short_oos_ic_std_across_windows,short_positive_sample_window_rate,short_positive_oos_window_rate,short_sign_consistency_rate,short_both_positive_rate,short_mean_ic_change,short_mean_absolute_ic_change,short_required,long_required,pass_short_data,pass_short_weighted_ic,pass_short_median_ic,pass_short_positive_windows,pass_short_sign_consistency,pass_short,pass_long_data,pass_long_weighted_ic,pass_long_median_ic,pass_long_positive_windows,pass_long_sign_consistency,pass_long,pass_data,pass_weighted_ic,pass_median_ic,pass_positive_windows,pass_sign_consistency,passed_all_basic_conditions
trend|SMA150|h21,trend,SMA150,21,"{""window"": 150}",12,12,12,12,-0.0064448085081623,-0.0089348685,-0.0048262625240531,-0.00041243507,0.039287467,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0833333333333333,0.0016212885966524,0.0353045992475623,30.0,30.0,30.0,30.0,-0.0052100017772884,-0.003263867,-0.0040297021240796,0.0052694683,0.052633654,0.4,0.5333333333333333,0.2666666666666666,0.1,0.0009727870735029,0.0537429884386559,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA150|h42,trend,SMA150,42,"{""window"": 150}",12,12,12,12,-0.0091974984151643,-0.010513747,-0.0055756846288832,-0.00417264,0.047894266,0.25,0.4166666666666667,0.5,0.0833333333333333,0.0036365363824491,0.0434600415561969,30.0,30.0,29.0,29.0,-0.0105772354999752,-0.015659068,-0.0099201348524371,-0.00044549062,0.07489391,0.3333333333333333,0.4827586206896552,0.3448275862068966,0.0689655172413793,0.0010189872620434,0.0726293415344994,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA150|h63,trend,SMA150,63,"{""window"": 150}",12,12,12,12,-0.0075961994275366,-0.008790126,-0.000700179474506,0.00801241,0.0494718,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.1666666666666666,0.006940852307404,0.0458700539699445,30.0,30.0,29.0,29.0,-0.0105443696913802,-0.009072153,-0.008094737870087,0.012137646,0.083132505,0.4666666666666667,0.5172413793103449,0.4482758620689655,0.2068965517241379,0.0026871689820084,0.0805785124800328,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA150|h126,trend,SMA150,126,"{""window"": 150}",12,12,12,12,0.0011411554346242,0.0068711946,0.0193677014863208,0.038343877,0.077343985,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.0183576365622381,0.076835381022344,30.0,30.0,29.0,29.0,0.0018041286374493,0.0009164491,0.0125641223469155,0.043454975,0.097012304,0.5,0.5517241379310345,0.4482758620689655,0.2413793103448276,0.0118631994159057,0.0967425615366163,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
trend|SMA150|h252,trend,SMA150,252,"{""window"": 150}",12,12,11,11,-0.0080891729687859,-0.01452375,0.0079971746254895,0.012839866,0.10046088,0.25,0.5454545454545454,0.4545454545454545,0.0909090909090909,0.0184434054588729,0.0901594587009061,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA20|h1,trend,SMA20,1,"{""window"": 20}",12,12,12,12,-0.0058959993132496,-0.004990473,-0.006667458067242,-0.0046660174,0.00624967,0.0,0.1666666666666666,0.8333333333333334,0.0,-0.0007710162705431,0.0063933396401504,30.0,30.0,30.0,30.0,-0.0059166372824263,-0.006545907,-0.005089960662745,-0.0041061975,0.01094009,0.1666666666666666,0.3333333333333333,0.6333333333333333,0.0666666666666666,0.0008274818576561,0.0117501323382991,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
trend|SMA20|h5,trend,SMA20,5,"{""window"": 20}",12,12,12,12,-0.0118746887782936,-0.012696818,-0.0127644905710708,-0.013400633,0.013156343,0.0,0.0833333333333333,0.9166666666666666,0.0,-0.0008931857688973,0.0112720136530697,30.0,30.0,30.0,30.0,-0.012487568028284,-0.013225185,-0.0107797723894676,-0.0113312425,0.020614589,0.1,0.3,0.6,0.0,0.0017421123571693,0.0202653827456136,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
trend|SMA20|h10,trend,SMA20,10,"{""window"": 20}",12,12,12,12,-0.0127712584741429,-0.013041623,-0.0140656780268619,-0.011216758,0.022674737,0.0833333333333333,0.25,0.6666666666666666,0.0,-0.0012989071741079,0.0169468589204673,30.0,30.0,30.0,30.0,-0.0127412914317599,-0.012914893,-0.010929235964717,-0.008274936,0.032744825,0.2,0.3,0.5666666666666667,0.0333333333333333,0.0018582271877676,0.0310662055543313,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
trend|SMA20|h21,trend,SMA20,21,"{""window"": 20}",12,12,12,12,-0.0161848537537813,-0.011556869,-0.0147184228618376,-0.008195145,0.032725282,0.0833333333333333,0.4166666666666667,0.5,0.0,0.0014715627767145,0.0293368177178005,30.0,30.0,30.0,30.0,-0.0117046877207531,-0.010830151,-0.0121695438816473,-0.003390856,0.041981142,0.2333333333333333,0.4666666666666667,0.5666666666666667,0.1333333333333333,-0.0005079439297939,0.0339366902830079,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA20|h42,trend,SMA20,42,"{""window"": 20}",12,12,12,12,-0.0177132582675754,-0.015116813,-0.0164585666400192,-0.015702631,0.031866424,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0012605848411719,0.0314388135448098,30.0,30.0,29.0,29.0,-0.0148703706545601,-0.014658875,-0.0169302117463057,-0.011185751,0.045151733,0.2333333333333333,0.3103448275862069,0.5517241379310345,0.0344827586206896,-0.0010056114466539,0.0404692657356118,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA20|h63,trend,SMA20,63,"{""window"": 20}",12,12,12,12,-0.0116342133353018,-0.0109732635,-0.0114936500174722,-0.009373229,0.034846287,0.1666666666666666,0.3333333333333333,0.5,0.0,0.0001304862865557,0.0342390912119299,30.0,30.0,29.0,29.0,-0.0107518207351018,-0.019311786,-0.0151643334076621,-0.015557002,0.04964345,0.3,0.4137931034482758,0.4482758620689655,0.0689655172413793,-0.0040219078033134,0.0463798924766737,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA20|h126,trend,SMA20,126,"{""window"": 20}",12,12,12,12,-0.0043330177334426,-0.010269213,0.0020874073498094,0.0035947864,0.03908459,0.4166666666666667,0.5,0.5833333333333334,0.25,0.0064525968239953,0.0378587526114036,30.0,30.0,29.0,29.0,-0.0054055543799237,-0.0058028437,-0.0038313929577367,0.0011540516,0.049879435,0.4,0.5172413793103449,0.3793103448275862,0.1379310344827586,0.0017219120636582,0.0524487673658235,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA20|h252,trend,SMA20,252,"{""window"": 20}",12,12,11,11,-0.0024109734558875,-0.001482144,0.0039193268928937,0.005496076,0.031093376,0.4166666666666667,0.5454545454545454,0.2727272727272727,0.0909090909090909,0.0067127157764678,0.0325125523165545,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA200|h1,trend,SMA200,1,"{""window"": 200}",12,12,12,12,0.0060116162062596,0.00651465,0.0071299935523861,0.010418855,0.011962331,1.0,0.75,0.75,0.75,0.0011195492309828,0.0111671568204959,30.0,30.0,30.0,30.0,0.0065431125292413,0.007826202,0.0079287084174621,0.009809773,0.014184878,0.8,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.0013680168737967,0.0155937697738409,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False
trend|SMA200|h5,trend,SMA200,5,"{""window"": 200}",12,12,12,12,0.0018013914147632,0.0015159944,0.0026268027127258,0.0077899415,0.024160657,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.000817422561037,0.0229266308791314,30.0,30.0,30.0,30.0,0.0018650778903758,0.0011936397,0.0035267316851152,0.002872848,0.029004248,0.5333333333333333,0.5,0.2333333333333333,0.1333333333333333,0.0016242408348868,0.030265309397752,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
trend|SMA200|h10,trend,SMA200,10,"{""window"": 200}",12,12,12,12,-0.0019078300326745,-0.0039768303,-0.0007554942595718,0.007541229,0.03476302,0.3333333333333333,0.5833333333333334,0.25,0.0833333333333333,0.0011453862146784,0.0327722860965877,30.0,30.0,30.0,30.0,-0.0018995099152066,-0.005415337,0.0005590166572965,0.006997877,0.04117294,0.4333333333333333,0.5666666666666667,0.2666666666666666,0.1333333333333333,0.0023937878819803,0.0420648293880124,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA200|h21,trend,SMA200,21,"{""window"": 200}",12,12,12,12,-0.0046701066745578,-0.008138196,-0.0011288933025461,0.008955321,0.0445542,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.1666666666666666,0.003552085137926,0.0399146338071053,30.0,30.0,30.0,30.0,-0.0027356564266216,-0.002100536,-0.0012072530147725,0.007905354,0.05434395,0.5,0.5666666666666667,0.4666666666666667,0.2666666666666666,0.0013796314131468,0.05163651703236,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA200|h42,trend,SMA200,42,"{""window"": 200}",12,12,12,12,-0.005853369118863,-0.009620957,-0.0012204928039801,0.001756629,0.052103262,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.1666666666666666,0.0046603107669701,0.0458564318250864,30.0,30.0,29.0,29.0,-0.0060984853079366,-0.004488915,-0.0053783697614008,0.0005780816,0.07530537,0.4333333333333333,0.5172413793103449,0.4137931034482758,0.1724137931034483,0.0016128569359666,0.0732638395776779,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA200|h63,trend,SMA200,63,"{""window"": 200}",12,12,12,12,-0.0029423771243937,-0.0013413094,0.0030298781393909,0.0062860446,0.05409696,0.5,0.6666666666666666,0.3333333333333333,0.25,0.0060334367832789,0.0479758669777462,30.0,30.0,29.0,29.0,-0.0047094626402014,0.0006400953,-0.0023190640898797,0.0068148025,0.08391321,0.5333333333333333,0.5172413793103449,0.5172413793103449,0.2758620689655172,0.0032147222423347,0.084155184313141,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
trend|SMA200|h126,trend,SMA200,126,"{""window"": 200}",12,12,12,12,0.0027068430206893,0.0067986036,0.018446217033925,0.033149075,0.09632829,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.0158946700394153,0.0920143090188503,30.0,30.0,29.0,29.0,0.0048071293349576,0.0026003302,0.0152712982044636,0.045005623,0.11337405,0.5333333333333333,0.5862068965517241,0.4482758620689655,0.2758620689655172,0.0121987081807235,0.1175517080159022,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
trend|SMA200|h252,trend,SMA200,252,"{""window"": 200}",12,12,11,11,-0.0108035624440201,-0.014767641,0.0078929999299519,0.005407193,0.12241735,0.25,0.5454545454545454,0.4545454545454545,0.0909090909090909,0.0206069301136515,0.1097775533456694,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,False,False,False,False,True,False,False,False,False,False
