factor_key,horizon_days,quantile,average_count,average_factor_score,average_return,median_daily_return
momentum|3m-0m,126,8,40.48672566371681,0.60754794,0.067666054,0.06179425
momentum|3m-0m,126,9,40.430279837359485,0.9246423,0.0665419,0.05926145
momentum|3m-0m,126,10,40.88375986606075,1.6817095,0.07753171,0.059595145
momentum|3m-0m,252,1,38.56397990911265,-1.8518573,0.1487101,0.11928946
momentum|3m-0m,252,2,39.01028462090409,-0.93729556,0.14678311,0.1288901
momentum|3m-0m,252,3,38.94905524994021,-0.577479,0.14314173,0.12772408
momentum|3m-0m,252,4,39.01961253288687,-0.31063145,0.1431105,0.12911355
momentum|3m-0m,252,5,39.12341545084908,-0.07670533,0.138141,0.12597467
momentum|3m-0m,252,6,38.80961492465917,0.14209291,0.1378936,0.12762606
momentum|3m-0m,252,7,38.97775651757953,0.3635061,0.13832237,0.12663402
momentum|3m-0m,252,8,38.999521645539346,0.6093569,0.14121896,0.12730692
momentum|3m-0m,252,9,38.94020569241808,0.92581075,0.14059548,0.1244166
momentum|3m-0m,252,10,39.35254723750299,1.6775827,0.15654983,0.11699881
momentum|3m-1m,1,1,41.55273857928725,-1.8365602,0.000674257,0.00047258555
momentum|3m-1m,1,2,42.00621860798852,-0.93122226,0.0006944394,0.00059833284
momentum|3m-1m,1,3,41.95981822530495,-0.5746226,0.0005908081,0.0005698871
momentum|3m-1m,1,4,42.016981583353264,-0.31113386,0.0005869284,0.0005403705
momentum|3m-1m,1,5,42.17220760583592,-0.08194421,0.0005260446,0.00053392973
momentum|3m-1m,1,6,41.80172207605836,0.13388371,0.0005200388,0.00056425476
momentum|3m-1m,1,7,41.97440803635494,0.3524235,0.00057031057,0.00057002495
momentum|3m-1m,1,8,42.002630949533604,0.59737414,0.0005179595,0.0005776534
momentum|3m-1m,1,9,41.96436259268118,0.9175752,0.00052517373,0.00052883395
momentum|3m-1m,1,10,42.43673762257833,1.6987504,0.0006542013,0.00053771905
momentum|3m-1m,5,1,41.50609901937336,-1.8365315,0.0033206984,0.0028451884
momentum|3m-1m,5,2,41.95790480746233,-0.931149,0.0033577357,0.003061366
momentum|3m-1m,5,3,41.91102607031811,-0.57462704,0.0030521364,0.0028942947
momentum|3m-1m,5,4,41.96914613728773,-0.3111742,0.0028089783,0.0028040675
momentum|3m-1m,5,5,42.122458741927765,-0.081965454,0.002640435,0.002566582
momentum|3m-1m,5,6,41.7536474527625,0.13387278,0.0025498252,0.0025466585
momentum|3m-1m,5,7,41.926333413059076,0.35241106,0.002788715,0.0027950513
momentum|3m-1m,5,8,41.95407797177709,0.59737235,0.002692619,0.0028281272
momentum|3m-1m,5,9,41.915570437694335,0.9175654,0.0025258102,0.0024195372
momentum|3m-1m,5,10,42.385792872518536,1.6986974,0.0031625188,0.0026059174
momentum|3m-1m,10,1,41.4477397751734,-1.8366213,0.006409055,0.005533404
momentum|3m-1m,10,2,41.897632145419756,-0.9310856,0.006572675,0.0061535942
momentum|3m-1m,10,3,41.85003587658455,-0.57462615,0.005943268,0.0055769375
momentum|3m-1m,10,4,41.907916766323844,-0.31118184,0.0057547563,0.0056316997
momentum|3m-1m,10,5,42.06242525711552,-0.08199415,0.005295199,0.005407645
momentum|3m-1m,10,6,41.693135613489595,0.13387996,0.0051228856,0.0049697515
momentum|3m-1m,10,7,41.86629992824683,0.35246143,0.0053882045,0.005175413
momentum|3m-1m,10,8,41.892609423582876,0.59746253,0.005212771,0.0050437213
momentum|3m-1m,10,9,41.855297775651756,0.91768086,0.005066692,0.0047680545
momentum|3m-1m,10,10,42.3224109064817,1.6984615,0.00619561,0.005182979
momentum|3m-1m,21,1,41.31882324802679,-1.8372022,0.0132287,0.012172827
momentum|3m-1m,21,2,41.76536713704855,-0.93127084,0.012567757,0.012184972
momentum|3m-1m,21,3,41.71848839990433,-0.57472014,0.012506899,0.011713499
momentum|3m-1m,21,4,41.77373834011002,-0.31119403,0.012110407,0.011569326
momentum|3m-1m,21,5,41.929442717053334,-0.081866,0.011294079,0.011154131
momentum|3m-1m,21,6,41.56302320019134,0.13413447,0.0108344825,0.01061505
momentum|3m-1m,21,7,41.73307821095432,0.35282916,0.011376666,0.011053733
momentum|3m-1m,21,8,41.75890935182971,0.5979721,0.01155479,0.011189175
momentum|3m-1m,21,9,41.72207605835924,0.9182226,0.011405975,0.010474516
momentum|3m-1m,21,10,42.183209758431,1.6974288,0.012722112,0.010332256
momentum|3m-1m,42,1,41.07247070078928,-1.8395202,0.02539663,0.022061322
momentum|3m-1m,42,2,41.51112174121024,-0.9318432,0.024977358,0.023341166
momentum|3m-1m,42,3,41.46448218129634,-0.5746996,0.024321688,0.022580994
momentum|3m-1m,42,4,41.52092800765367,-0.31071985,0.023528757,0.022659265
momentum|3m-1m,42,5,41.67567567567568,-0.08108844,0.022525955,0.02213844
momentum|3m-1m,42,6,41.311887108347285,0.13513939,0.022474697,0.021900171
momentum|3m-1m,42,7,41.47668022004305,0.35398963,0.02312668,0.022314493
momentum|3m-1m,42,8,41.50227218368811,0.5990948,0.022582296,0.021634648
momentum|3m-1m,42,9,41.46878737144224,0.9189688,0.022537928,0.020725911
momentum|3m-1m,42,10,41.92083233676154,1.6947412,0.025639554,0.020714696
momentum|3m-1m,63,1,40.82324802678785,-1.8408446,0.03697254,0.031279977
momentum|3m-1m,63,2,41.25855058598422,-0.93201125,0.03642642,0.03359402
momentum|3m-1m,63,3,41.21478115283425,-0.57464707,0.035371467,0.033062764
momentum|3m-1m,63,4,41.26716096627601,-0.31043157,0.03473202,0.033233177
momentum|3m-1m,63,5,41.41951686199474,-0.08060589,0.03377913,0.03282364
momentum|3m-1m,63,6,41.0605118392729,0.13578746,0.03330216,0.03183566
momentum|3m-1m,63,7,41.22028222913179,0.3547921,0.034267813,0.032023832
momentum|3m-1m,63,8,41.24778761061947,0.5998272,0.033476908,0.030804625
momentum|3m-1m,63,9,41.212867734991626,0.9191309,0.033086028,0.029809054
momentum|3m-1m,63,10,41.6603683329347,1.6930146,0.03843083,0.030404931
momentum|3m-1m,126,1,40.07318823248027,-1.841984,0.06967167,0.0571002
momentum|3m-1m,126,2,40.50227218368811,-0.93171626,0.06909574,0.061749175
momentum|3m-1m,126,3,40.46137287730208,-0.5744039,0.06853864,0.06312486
