hypothesis_key,factor_key,family,variant,horizon_days,parameters,research_dates,median_membership_count,median_return_asset_count,valid_ic_ratio,quantile_curve_rho,quantile_step_ratio,rank_autocorrelation_observations,mean_rank_autocorrelation,median_rank_autocorrelation,spearman_ic_mean,spearman_ic_median,spearman_ic_hac_tstat,spearman_ic_raw_p_value,spearman_ic_daily_direction_rate,spearman_ic_monthly_direction_rate,spearman_ic_annual_direction_rate,q10_minus_q1_mean,q10_minus_q1_median,q10_minus_q1_hac_tstat,q10_minus_q1_raw_p_value,q10_minus_q1_daily_direction_rate,q10_minus_q1_monthly_direction_rate,q10_minus_q1_annual_direction_rate,q10_minus_middle_mean,q10_minus_middle_median,q10_minus_middle_hac_tstat,q10_minus_middle_raw_p_value,q10_minus_middle_daily_direction_rate,q10_minus_middle_monthly_direction_rate,q10_minus_middle_annual_direction_rate,middle_minus_q1_mean,middle_minus_q1_median,middle_minus_q1_hac_tstat,middle_minus_q1_raw_p_value,middle_minus_q1_daily_direction_rate,middle_minus_q1_monthly_direction_rate,middle_minus_q1_annual_direction_rate,edges_minus_middle_mean,edges_minus_middle_median,edges_minus_middle_hac_tstat,edges_minus_middle_raw_p_value,edges_minus_middle_daily_direction_rate,edges_minus_middle_monthly_direction_rate,edges_minus_middle_annual_direction_rate,pattern,pattern_direction,primary_effect,strongest_economic_effect,strongest_economic_effect_mean,strongest_economic_effect_hac_tstat,strongest_economic_effect_abs_tstat,strongest_economic_effect_monthly_direction_rate,strongest_economic_effect_annual_direction_rate,primary_effect_mean,primary_effect_median,primary_effect_hac_tstat,primary_effect_raw_p_value,primary_effect_bh_q_active_scope,primary_effect_planned_bonferroni_p,primary_effect_monthly_direction_rate,primary_effect_annual_direction_rate,primary_effect_valid_date_ratio,full_research_scope,active_hypothesis_count,active_effect_test_count,evidence_status,classification_reason,evidence_score
short_term_reversal|reversal_5d|h5,short_term_reversal|reversal_5d,short_term_reversal,reversal_5d,5,"{""window"": 5}",4181,503.0,429.0,0.9988041138483617,0.9636363636363635,0.8888888888888888,4181,-0.014935986465886652,-0.009611011311757326,0.012586586928943664,0.0075947141740471125,2.8570002288670002,0.0042766552976161555,0.5193965517241379,0.59,0.8235294117647058,0.0013747650296180875,0.0011121132411062717,1.9449531577944204,0.05178061629236327,0.5308908045977011,0.575,0.7058823529411765,0.0010931225785020702,0.0007820406462997198,2.296388531110018,0.021653676145528968,0.5282567049808429,0.61,0.8823529411764706,0.0002816424497639715,0.00034673791378736496,0.7269669475272824,0.46724620367504466,0.5126915708812261,0.535,0.7058823529411765,0.00040574006968663144,0.0003157788887619972,1.6108969215054834,0.10720219111709411,0.5146072796934866,0.55,0.7058823529411765,upper_tail,q10_above_middle,q10_minus_middle,q10_minus_middle,0.0010931225785020702,2.296388531110018,2.296388531110018,0.61,0.8823529411764706,0.0010931225785020702,0.0007820406462997198,2.296388531110018,0.021653676145528968,0.9179359563047531,1.0,0.61,0.8823529411764706,0.9988041138483617,True,448,2240,rejected_by_multiple_testing,Q10 differs from the middle more clearly than Q1 does.,103.81170535759757
liquidity_change|liq_20d_252d|h252,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,"{""long_window"": 252, ""short_window"": 20}",4181,503.0,419.0,0.9397273379574265,-0.10303030303030303,0.6666666666666666,4181,0.07667491765646706,0.0851734051301562,0.008006655858431298,0.012311144731938839,0.7992074037939827,0.42417015959014803,0.568592517179944,0.5851063829787234,0.5625,0.0002404118197825262,0.014380641281604767,0.017122383796449054,0.9863389818417714,0.5601934334436244,0.5585106382978723,0.5625,0.016679007569140692,0.016744539141654968,2.395260295665657,0.016608569956027226,0.6029524051921609,0.6276595744680851,0.6875,-0.016438595729743263,0.0033004656434059143,-1.110122888010891,0.26694607564724737,0.4840926444387885,0.4734042553191489,0.4375,0.01655880164923457,0.009739823639392853,1.8003470325303241,0.07180585879154434,0.5703741410027997,0.6276595744680851,0.5625,upper_tail,q10_above_middle,q10_minus_middle,q10_minus_middle,0.016679007569140692,2.395260295665657,2.395260295665657,0.6276595744680851,0.6875,0.016679007569140692,0.016744539141654968,2.395260295665657,0.016608569956027226,0.9179359563047531,1.0,0.6276595744680851,0.6875,0.9397273379574265,True,448,2240,rejected_by_multiple_testing,Q10 differs from the middle more clearly than Q1 does.,103.73437247309039
liquidity_change|liq_20d_126d|h252,liquidity_change|liq_20d_126d,liquidity_change,liq_20d_126d,252,"{""long_window"": 126, ""short_window"": 20}",4181,503.0,419.0,0.9397273379574265,-0.2727272727272727,0.5555555555555556,4181,0.1459978780704886,0.14786285902410723,0.0029490669993260353,0.005531279370188713,0.5433617563438357,0.5868807516530719,0.5349961822346653,0.5319148936170213,0.6875,0.0037115636100572055,0.007009446620941162,0.45415010844760517,0.6497207897052142,0.5403410537032324,0.5691489361702128,0.625,0.013926054745670536,0.011956781148910522,2.4148290523883165,0.015742596231471295,0.5846271315856452,0.6063829787234043,0.625,-0.010214491147317085,-0.0013210475444793701,-1.013859443912949,0.31064982575855016,0.5100534487146857,0.5159574468085106,0.625,0.012070272916138124,0.007887452840805054,1.6954658808373864,0.08998707740876616,0.5703741410027997,0.6223404255319149,0.5,upper_tail,q10_above_middle,q10_minus_middle,q10_minus_middle,0.013926054745670536,2.4148290523883165,2.4148290523883165,0.6063829787234043,0.625,0.013926054745670536,0.011956781148910522,2.4148290523883165,0.015742596231471295,0.9179359563047531,1.0,0.6063829787234043,0.625,0.9397273379574265,True,448,2240,rejected_by_multiple_testing,Q10 differs from the middle more clearly than Q1 does.,103.6703603216356
low_volatility|60d|h63,low_volatility|60d,low_volatility,60d,63,"{""window"": 60}",4181,503.0,426.0,0.9849318344893566,-0.9393939393939393,0.6666666666666666,4181,0.7336592350159159,0.7310559163810607,-0.011882624191451838,-0.006292290519922972,-0.4935791468158431,0.621603430994266,0.5092277804759592,0.5228426395939086,0.5294117647058824,-0.018311459136558694,-0.014866488054394722,-1.6039108822356372,0.10873369775825369,0.5485672656629432,0.5634517766497462,0.5882352941176471,-0.0013606722961426877,-0.004656006582081318,-0.2638889467169294,0.7918654930865809,0.5378824672170957,0.5482233502538071,0.47058823529411764,-0.016950786917656356,-0.008218839764595032,-2.238628039343961,0.025180128261055174,0.5473530840213696,0.5736040609137056,0.6470588235294118,0.007795057277536203,0.0043218694627285,2.5458528011466806,0.010901114541343605,0.564108790675085,0.5888324873096447,0.5882352941176471,lower_tail,q1_above_middle,middle_minus_q1,edges_minus_middle,0.007795057277536203,2.5458528011466806,2.5458528011466806,0.5888324873096447,0.5882352941176471,-0.016950786917656356,-0.008218839764595032,-2.238628039343961,0.025180128261055174,0.9179359563047531,1.0,0.5736040609137056,0.6470588235294118,0.9849318344893566,True,448,2240,rejected_by_multiple_testing,Q1 differs from the middle more clearly than Q10 does.,103.48474945179855
low_volatility|90d|h63,low_volatility|90d,low_volatility,90d,63,"{""window"": 90}",4181,503.0,426.0,0.9849318344893566,-0.8909090909090909,0.5555555555555556,4181,0.8371353193023363,0.8410406613860542,-0.013731777112298447,-0.011409980710595846,-0.5553753539668985,0.5786379467444529,0.5118989800874211,0.5279187817258884,0.5294117647058824,-0.018480545549610275,-0.016763737425208092,-1.5659132443985102,0.1173689287839582,0.5522098105876639,0.5532994923857868,0.5882352941176471,-0.0017133549512716778,-0.003778415732085705,-0.32246142702585084,0.7471031551310814,0.5322972316658572,0.5431472081218274,0.47058823529411764,-0.016767190661860994,-0.009068859741091728,-2.1419003139481907,0.03220150460463829,0.5509956289460903,0.5685279187817259,0.7058823529411765,0.007526917813455251,0.004197277128696442,2.3879075646179686,0.0169446030085528,0.569208353569694,0.6142131979695431,0.6470588235294118,lower_tail,q1_above_middle,middle_minus_q1,edges_minus_middle,0.007526917813455251,2.3879075646179686,2.3879075646179686,0.6142131979695431,0.6470588235294118,-0.016767190661860994,-0.009068859741091728,-2.1419003139481907,0.03220150460463829,0.9179359563047531,1.0,0.5685279187817259,0.7058823529411765,0.9849318344893566,True,448,2240,rejected_by_multiple_testing,Q1 differs from the middle more clearly than Q10 does.,103.44018966131726
trend|SMA20|h1,trend|SMA20,trend,SMA20,1,"{""window"": 20}",4181,503.0,429.0,0.9997608227696724,-0.9030303030303028,0.6666666666666666,4181,0.9083251332686226,0.9152453339065543,-0.00630080051722997,-0.001867901359219104,-2.1219827973737018,0.03383918266420508,0.5043062200956938,0.6,0.8235294117647058,-0.00036105637238732747,-0.00010794145055115223,-1.7783345543482567,0.07534892439799648,0.5055023923444976,0.56,0.8235294117647058,-8.480931382018317e-05,-7.34422355890274e-05,-0.763450277101497,0.44519490536549977,0.5066985645933014,0.52,0.5882352941176471,-0.00027624705359320916,-0.00019258842803537846,-2.0590134706416783,0.039492948068417986,0.5160287081339713,0.59,0.7647058823529411,9.571885892427325e-05,0.00011915582581423223,1.3723389235209944,0.16995795388346613,0.5150717703349282,0.525,0.6470588235294118,lower_tail,q1_above_middle,middle_minus_q1,middle_minus_q1,-0.00027624705359320916,-2.0590134706416783,2.0590134706416783,0.59,0.7647058823529411,-0.00027624705359320916,-0.00019258842803537846,-2.0590134706416783,0.039492948068417986,0.9179359563047531,1.0,0.59,0.7647058823529411,0.9997608227696724,True,448,2240,rejected_by_multiple_testing,Q1 differs from the middle more clearly than Q10 does.,103.43430948770103
low_volatility|90d|h42,low_volatility|90d,low_volatility,90d,42,"{""window"": 90}",4181,503.0,427.0,0.9899545563262377,-0.9393939393939393,0.6666666666666666,4181,0.8878341710462495,0.892146360528065,-0.012636854861452508,-0.003219396574422717,-0.6158603159831435,0.5379867148514327,0.5047112829185794,0.5202020202020202,0.47058823529411764,-0.012322790952756353,-0.008020438253879547,-1.527729138302476,0.12657980241104164,0.5337037931867601,0.5555555555555556,0.5882352941176471,-0.0010404648781358,-0.001759495586156845,-0.2873568618842561,0.7738390880990366,0.5225899975839575,0.5505050505050505,0.47058823529411764,-0.011282325969171026,-0.004999496042728424,-2.1305215715131847,0.033128576824957796,0.5370862527180479,0.5505050505050505,0.7058823529411765,0.005120930543835301,0.0029803290963172913,2.466310575505822,0.013651291160611706,0.5537569461222518,0.5757575757575758,0.6470588235294118,lower_tail,q1_above_middle,middle_minus_q1,edges_minus_middle,0.005120930543835301,2.466310575505822,2.466310575505822,0.5757575757575758,0.6470588235294118,-0.011282325969171026,-0.004999496042728424,-2.1305215715131847,0.033128576824957796,0.9179359563047531,1.0,0.5505050505050505,0.7058823529411765,0.9899545563262377,True,448,2240,rejected_by_multiple_testing,Q1 differs from the middle more clearly than Q10 does.,103.41157208071446
low_volatility|60d|h42,low_volatility|60d,low_volatility,60d,42,"{""window"": 60}",4181,503.0,427.0,0.9899545563262377,-0.9151515151515152,0.6666666666666666,4181,0.8120525139239808,0.8181639913481333,-0.010637050874538062,-0.0010684238513931632,-0.5331125442376832,0.5939556760560551,0.5015704276395264,0.51010101010101,0.47058823529411764,-0.012152670555081787,-0.007932819426059723,-1.5564378796916125,0.11960400359053737,0.5378110654747523,0.5454545454545454,0.5882352941176471,-0.0010223945295711279,-0.00203491747379303,-0.29259127398198426,0.7698345843801737,0.5247644358540711,0.5454545454545454,0.5294117647058824,-0.011130276033762251,-0.0047666216269135475,-2.160205980415124,0.030756727406106753,0.5341870016912298,0.5606060606060606,0.6470588235294118,0.005053940693007192,0.003369587939232588,2.484644081469493,0.012968101812146674,0.5622130949504711,0.5656565656565656,0.6470588235294118,lower_tail,q1_above_middle,middle_minus_q1,edges_minus_middle,0.005053940693007192,2.484644081469493,2.484644081469493,0.5656565656565656,0.6470588235294118,-0.011130276033762251,-0.0047666216269135475,-2.160205980415124,0.030756727406106753,0.9179359563047531,1.0,0.5606060606060606,0.6470588235294118,0.9899545563262377,True,448,2240,rejected_by_multiple_testing,Q1 differs from the middle more clearly than Q10 does.,103.3927173053653
short_term_reversal|reversal_5d|h1,short_term_reversal|reversal_5d,short_term_reversal,reversal_5d,1,"{""window"": 5}",4181,503.0,429.0,0.9997608227696724,0.9878787878787878,0.8888888888888888,4181,0.7589151182853556,0.7709413508536138,0.007509734801051178,0.0040189402643591166,2.612287794726077,0.008993850754984115,0.511244019138756,0.57,0.8235294117647058,0.0003961829330834686,1.226901076734066e-05,2.028260370982884,0.04253368126332706,0.5002392344497608,0.575,0.7647058823529411,0.0002951672201409143,0.00027575746935326606,2.3244576863972615,0.02010097688646835,0.5244019138755981,0.62,0.8235294117647058,0.0001010157038911238,-3.988808020949364e-05,0.8990578654467462,0.36862183945920934,0.49569377990430624,0.52,0.6470588235294118,9.707575134067399e-05,0.0002052223135251552,1.3959621250746441,0.16272590088550187,0.5272727272727272,0.535,0.7647058823529411,positive_monotonic,positive,q10_minus_q1,q10_minus_middle,0.0002951672201409143,2.3244576863972615,2.3244576863972615,0.62,0.8235294117647058,0.0003961829330834686,1.226901076734066e-05,2.028260370982884,0.04253368126332706,0.9179359563047531,1.0,0.575,0.7647058823529411,0.9997608227696724,True,448,2240,rejected_by_multiple_testing,Higher factor deciles generally have higher future returns.,103.3912108301998
liquidity_change|liq_20d_126d|h126,liquidity_change|liq_20d_126d,liquidity_change,liq_20d_126d,126,"{""long_window"": 126, ""short_window"": 20}",4181,503.0,424.0,0.9698636689787132,-0.24848484848484845,0.5555555555555556,4181,0.06305986977029715,0.06621961353517716,-0.0015408045239667621,0.0017773864092305303,-0.27053438259506957,0.7867491692181636,0.4919852034525277,0.4845360824742268,0.5294117647058824,0.005581212311474384,0.005001075565814972,0.912059896260079,0.3617371880665471,0.5395807644882861,0.5618556701030928,0.5882352941176471,0.010300736017462037,0.007399164140224457,2.041733129894314,0.04117801057383826,0.5787916152897657,0.6082474226804123,0.7058823529411765,-0.004719523706963762,-0.0015848707407712936,-1.1367377020375995,0.2556479533068363,0.5127003699136868,0.5257731958762887,0.6470588235294118,0.007510129732203827,0.005745898932218552,2.1694650893356764,0.030047392014454458,0.5758323057953144,0.6134020618556701,0.7058823529411765,upper_tail,q10_above_middle,q10_minus_middle,edges_minus_middle,0.007510129732203827,2.1694650893356764,2.1694650893356764,0.6134020618556701,0.7058823529411765,0.010300736017462037,0.007399164140224457,2.041733129894314,0.04117801057383826,0.9179359563047531,1.0,0.6082474226804123,0.7058823529411765,0.9698636689787132,True,448,2240,rejected_by_multiple_testing,Q10 differs from the middle more clearly than Q1 does.,103.37755755640924
